,FIPS,Years of Potential Life Lost Rate,YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,# Primary Care Physicians,PCP Rate,# Dentists,Dentist Rate,# Mental Health Providers,MHP Rate,Preventable Hosp. Rate,Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% Screened,% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),Cohort Size,Graduation Rate,# Some College,Population,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,# Single-Parent Households,# Households,% Single-Parent Households,# Associations,Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,Life Expectancy,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths.1,Child Mortality Rate,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured.1,% Uninsured.1,Other PCP Rate,% Disconnected Youth,Household Income,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,# Firearm Fatalities,Firearm Fatalities Rate,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural
# Some College,0.003775724,-0.323857439,-0.485118394,-0.478324901,-0.475725481,-0.119964542,-0.099108721,-0.06452233,0.054857341,-0.239238233,-0.189883517,-0.051219657,0.073391546,0.345411651,0.039867349,0.062056114,0.306171894,0.33515004,0.856574751,0.877374719,0.214243944,0.934501872,0.278198333,-0.221138692,-0.500153757,-0.307190966,-0.379765966,0.983399365,-0.359329392,0.931316507,0.372289895,0.953833587,0.640454468,0.917239697,0.538992526,0.05581551,0.043518489,-0.011282661,-0.078584202,0.445307124,0.381810586,0.356337561,0.448931933,0.58004285,0.299083679,0.532124829,0.582916714,0.978227534,-0.395746901,1,0.992456785,0.315963124,0.978277593,0.99084116,0.112952065,-0.293973478,-0.418817073,-0.098175578,-0.218882601,0.337208161,0.230277211,0.015686902,0.973405311,0.989005106,0.095307367,0.957735785,-0.531029372,0.952906998,0.459591457,0.972666213,-0.509692079,0.733979223,0.458537057,0.56825184,0.151392686,-0.003668382,0.172029766,-0.122995781,0.185296799,0.018190827,0.99321142,0.218140732,0.144757089,0.40855906,0.2503706,0.356382104,0.97416574,-0.212981783,-0.518022668,-0.52313493,-0.421766682,0.949255647,-0.387455474,-0.652492669,-0.570102041,-0.503116196,0.930930531,-0.353987784,-0.531168831,-0.373399015,-0.481304985,-0.106825668,-0.094852611,-0.223854195,0.894860659,0.279951187,0.975424832,0.216650131,0.866516537,-0.100730974,0.916640047,-0.409838157,0.946361828,-0.696153286,0.314785957,0.977548962,-0.608491644,0.222826135,-0.712661252,0.37288714,0.518493728,0.249112407,0.365563615,-0.111901054,0.305950466,0.385620208,-0.431006363,0.941638561,-0.542412046,0.986035461,-0.299616789,0.973688325,0.496993517,0.213345236,-0.525873887,0.875408921,0.438695464,0.969015632,-0.292090293,0.962119433,0.568342042,0.919082227,0.501118528,0.886385206,-0.071416907,0.928021421,-0.117438483,0.828746914,0.011951097,0.250537552,0.873349745,-0.63684217
# Uninsured,0.025583517,-0.322072115,-0.451763827,-0.486329799,-0.441260636,-0.061359505,-0.034248417,0.00442893,0.046599568,-0.198067955,-0.218481298,-0.051378396,0.115245556,0.352812511,0.039208932,0.071572042,0.304141238,0.26468534,0.853951788,0.874979867,0.210206289,0.931311097,0.272106067,-0.169040368,-0.493226159,-0.284174986,-0.35731384,1,-0.244060204,0.9253722,0.365852389,0.945969429,0.626738368,0.913258712,0.529037902,0.066480476,0.032346184,-0.015568393,-0.072000489,0.423270606,0.387735615,0.354453787,0.429113281,0.566371229,0.329488532,0.527254784,0.576207452,0.980235586,-0.40943728,0.983399365,0.98625588,0.241570762,0.981138884,0.989421059,0.131267842,-0.248898551,-0.409009342,-0.062049524,-0.170794362,0.289549742,0.206124824,0.006092708,0.982668892,0.995156955,0.12207642,0.949097547,-0.540241772,0.947131606,0.445485586,0.969984285,-0.508988811,0.725568855,0.502895135,0.584239398,0.209960172,0.008618936,0.137457579,-0.121894046,0.19384678,0.011554032,0.989788302,0.20633236,0.149977802,0.36453927,0.282002387,0.331212434,0.970877953,-0.216364843,-0.474750692,-0.533585769,-0.396141961,0.940056559,-0.424171588,-0.618768328,-0.482857143,-0.459404081,0.938369474,-0.369491268,-0.441558442,-0.325123153,-0.376466276,-0.041293111,-0.022755753,-0.210236432,0.874656084,0.251972789,0.970212683,0.196216628,0.870977333,-0.094197393,0.924556977,-0.376740541,0.951713684,-0.676181777,0.345775115,0.99408247,-0.540356596,0.220907125,-0.668705208,0.33054371,0.507055516,0.210195069,0.337843232,-0.034178189,0.318757109,0.373116149,-0.403463853,0.93313442,-0.551877763,0.983760406,-0.308455079,0.973029205,0.507498974,0.26604668,-0.532184165,0.855501252,0.408069838,0.973725648,-0.266668449,0.955005764,0.549840606,0.923220083,0.509926903,0.902302286,-0.032318449,0.909929156,-0.151846843,0.869929472,0.086750858,0.270570126,0.871851719,-0.630236066
# HIV Cases,-0.039373067,-0.29216451,-0.50085398,-0.399473308,-0.359419214,-0.172374925,-0.180590401,-0.11843378,0.109671757,-0.214909757,-0.089289432,-0.084808866,0.020043931,0.206396356,-0.088830615,-0.045326033,0.278580151,0.313220022,0.814541764,0.839393227,0.249078858,0.863772242,0.333157482,-0.304021187,-0.427711836,-0.227253418,-0.307663543,0.874656084,-0.309998782,0.800065993,0.324539007,0.82793112,0.445254602,0.830193379,0.577068411,-0.104028287,0.074374212,-0.074306052,-0.15217795,0.46419821,0.39797892,0.478249103,0.410631236,0.576687969,0.333633196,0.531078744,0.574424102,0.887429339,-0.311255423,0.894860659,0.915677909,0.369489549,0.887397841,0.88575623,-0.040974784,-0.317157443,-0.349111122,-0.11098421,-0.290913731,0.309765605,0.239171233,-0.014881807,0.874222744,0.876413023,0.077230906,0.841585261,-0.486914307,0.875083458,0.358595613,0.89809175,-0.404660808,0.663758956,0.36981939,0.548897105,0.013475117,-0.193836137,0.054183649,-0.057973393,0.099782589,0.032262618,0.886847876,0.185737208,0.206288248,0.412164546,0.270594439,0.293104908,0.905284712,-0.220098114,-0.527099387,-0.418217422,-0.315065019,0.870195273,-0.307977156,-0.601906158,-0.470573229,-0.386501889,0.858946698,-0.228146162,-0.358441558,-0.272906404,-0.304985337,-0.172614885,-0.159628175,-0.164856347,1,0.635857905,0.909247911,0.221481446,0.791402534,-0.026317841,0.809883854,-0.352659239,0.890375806,-0.5548681,0.29661779,0.855815397,-0.468078659,0.34389314,-0.533460217,0.35708875,0.308291844,0.167867844,0.360043299,-0.171115766,0.18661058,0.374163037,-0.30430609,0.879502306,-0.444677124,0.887257045,-0.374276894,0.892998827,0.462652832,0.0832808,-0.478653043,0.850640792,0.465542536,0.854900832,-0.29845014,0.87471146,0.569834742,0.830664346,0.467623052,0.729953013,-0.102906707,0.833177689,-0.076447429,0.73414953,0.046026679,0.237963917,0.770516557,-0.427904989
% Screened (White),-0.163319686,-0.193696664,-0.20953002,-0.414738758,-0.311391773,-0.401317713,-0.315595889,-0.142100225,-0.182903182,-0.087058491,-0.225564948,-0.243121372,-0.208030589,0.000420894,-0.083383225,0.052041253,0.178161958,0.146340118,0.367941696,0.353340497,0.149311194,0.441790811,0.197080099,-0.490425826,-0.209937128,-0.41631877,-0.457451623,0.429113281,-0.300244877,0.48915944,0.324128761,0.467518727,0.337091142,0.470985978,0.420447356,-0.249427401,0.032457668,-0.231105073,-0.183754277,0.929231336,0.412619091,0.486429224,1,0.552447849,0.304679614,0.40888191,0.561044535,0.41822857,-0.025085221,0.448931933,0.410644954,0.497189637,0.411623718,0.457013873,-0.24566971,-0.404121478,-0.093916767,-0.122908524,-0.234168161,0.355211157,0.350579284,-0.181696672,0.400398099,0.418590763,-0.0767233,0.51423292,-0.055750269,0.374767112,0.084892061,0.461590728,-0.164293342,0.456832932,0.132794692,0.333356506,-0.165802808,-0.081269773,0.07434369,-0.173946488,0.033488932,-0.074505344,0.465948427,0.15793227,0.195538309,0.122709615,0.339138217,0.388154637,0.460747661,-0.220721185,-0.298819037,-0.426366345,-0.371251427,0.399703873,-0.045483705,-0.164644234,-0.168658027,-0.109453491,0.267781757,0.039238935,-0.045054563,-0.082983759,0.015279972,-0.338143368,-0.199427294,0.115383246,0.410631236,0.160685148,0.472101785,0.267994414,0.321930733,-0.126013451,0.335209141,-0.109653625,0.438660976,-0.359751609,-0.150155963,0.430267299,-0.186143002,0.134526746,-0.421210136,0.420662188,0.220300997,0.196255706,0.250273314,-0.337273904,0.056989566,0.330193469,-0.276384742,0.417814672,-0.142331192,0.477539919,-0.112226889,0.485369035,0.290304155,-0.137192794,0.053435354,0.427911542,0.241526272,0.43200494,-0.215877537,0.437186009,0.297007761,0.46600368,0.297145972,0.277247473,-0.361143125,0.548856458,0.288136863,0.234505709,-0.291349277,0.33021153,0.4941741,-0.077322373
% Some College,-0.060677704,-0.278315915,-0.354390898,-0.459717702,-0.425568742,-0.549391004,-0.490747253,-0.269669936,-0.111506586,-0.150633774,-0.113835543,-0.100853706,-0.420241768,-0.147188881,-0.061108662,-0.070104108,0.228346455,0.296407538,0.244257858,0.212843102,0.16742658,0.35108847,0.112937612,-0.593396857,-0.377575426,-0.499560301,-0.51723911,0.241570762,-0.480210242,0.329128625,0.266572647,0.311678941,0.270213637,0.423113382,0.429998331,-0.200824564,-0.064453186,-0.182101026,-0.111790865,0.456060468,0.238188623,0.283514373,0.497189637,0.310769631,0.199701128,0.298775778,0.393322664,0.529378525,0.05494232,0.315963124,0.228235315,1,0.247750467,0.284790389,-0.267603396,-0.502479254,-0.3971835,-0.213647879,-0.369718853,0.453180454,0.374708958,-0.114754855,0.234827257,0.25527853,-0.147386709,0.3299453,-0.017555769,0.216399998,-0.017999142,0.383691016,-0.17315563,0.25349797,-0.076477742,0.184035975,-0.321745329,-0.12610023,0.030715069,-0.158345054,-0.061408834,-0.078940318,0.29662111,0.173677273,0.212599092,0.292220161,0.300226244,0.385789165,0.334674682,-0.221729285,-0.43366428,-0.493496826,-0.450817286,0.582100956,-0.212604284,-0.67888563,-0.587755102,-0.512165969,0.510111572,-0.284588829,-0.827272727,-0.686699507,-0.697214076,-0.506400819,-0.34916802,0.030645854,0.369489549,-0.000257712,0.28486696,0.164935721,0.22318974,-0.042295602,0.641654417,-0.302088649,0.392875798,-0.372921036,-0.354058294,0.253027325,-0.259629421,0.137500867,-0.735690397,0.480883223,0.420312828,0.32736622,0.31671074,-0.571322342,0.115817847,0.196089175,-0.441277141,0.484653263,-0.258195519,0.304917553,-0.021757621,0.302450357,0.139254332,-0.010037219,0.008763756,0.203372566,0.041679749,0.263451876,-0.152175589,0.272470148,0.243427545,0.278293795,0.154553863,0.130735024,-0.350104627,0.373948194,0.352809729,0.054264402,-0.421879491,0.429284973,0.277126593,-0.092983291
Labor Force,0.004671684,-0.32752975,-0.457101437,-0.501321259,-0.472021944,-0.12226675,-0.093502152,-0.049193833,0.044059485,-0.222823472,-0.199264565,-0.061157826,0.064238128,0.343957942,0.041381314,0.071125061,0.304836756,0.304879473,0.869610346,0.892980643,0.20939841,0.9354358,0.273234176,-0.229486481,-0.515862576,-0.33458454,-0.393752139,0.989421059,-0.338310263,0.932779656,0.374902899,0.954110287,0.639702734,0.916036641,0.531320861,0.042496357,0.033466562,-0.028245455,-0.090192247,0.449370441,0.365272187,0.363755804,0.457013873,0.592718568,0.335378739,0.551966907,0.596633307,0.976072165,-0.393490836,0.99084116,0.9879658,0.284790389,0.981283889,1,0.088040686,-0.288677234,-0.41790133,-0.082551913,-0.201849662,0.334133977,0.232313476,0.00816254,0.975066374,0.991190291,0.096716933,0.956409376,-0.535629457,0.948051285,0.442976967,0.977825927,-0.498805467,0.749074726,0.480246213,0.581650592,0.168513095,0.01191692,0.169466174,-0.127238631,0.187766795,0.003607882,0.995909391,0.235627037,0.156838706,0.380791589,0.277788275,0.367670451,0.978515496,-0.223827102,-0.489379695,-0.54756856,-0.432033139,0.949601456,-0.40473847,-0.654692082,-0.566122449,-0.515495603,0.944821618,-0.35171158,-0.541558442,-0.386206897,-0.487170088,-0.101698744,-0.080379403,-0.198597573,0.88575623,0.259917668,0.975268146,0.208493498,0.867136173,-0.10363008,0.939962155,-0.367245024,0.955975872,-0.681606135,0.303359958,0.983469443,-0.584454082,0.220894559,-0.701831502,0.376628398,0.522015401,0.235447163,0.37117156,-0.096404099,0.308170824,0.390602169,-0.430653602,0.942724483,-0.5533409,0.9909847,-0.284475502,0.978021449,0.508555008,0.212082156,-0.504566417,0.865168591,0.418329819,0.967250997,-0.304762728,0.958941603,0.554813332,0.920122038,0.493014823,0.885430782,-0.077130204,0.930863176,-0.105529386,0.835943763,0.022478217,0.283219666,0.88820049,-0.613920161
Overcrowding,0.059770154,-0.246118048,-0.025238325,0.214301827,-0.056182266,0.45859423,0.339195988,0.151727729,0.018918245,0.08461271,0.052151309,-0.027264653,0.099200733,0.085513867,0.319230099,-0.162890726,0.03804971,-0.153164497,0.098113942,0.156939669,-0.058970333,0.128186859,0.098658828,0.33346372,0.103888338,0.198612226,-0.046659781,0.209960172,0.259001314,0.108757071,0.007034134,0.154673385,0.03193036,0.080923794,-0.043828507,0.102470896,0.017510622,0.286880628,-0.057773958,-0.138140536,-0.138133774,-0.061037685,-0.165802808,-0.0666578,-0.036481909,-0.035390613,-0.099691969,0.030966518,-0.278624981,0.151392686,0.186499932,-0.321745329,0.190589235,0.168513095,0.146188627,0.176616535,-0.024678532,0.153918418,0.052677564,-0.050655242,-0.057243036,0.058566988,0.221609593,0.214385372,0.107234041,0.069439644,-0.294554723,0.17887947,0.142168861,0.052379885,-0.295412755,0.029717129,0.537581077,0.026201257,1,0.089918859,-0.082331885,-0.011415846,0.123687076,0.002868321,0.157767596,-0.091394511,0.197701289,-0.00541744,-0.236805728,0.078558274,0.066317441,-0.23217777,0.009192549,0.208053237,-0.041466637,-0.034651169,-0.197395247,-0.121334311,0.136632653,-0.037223598,0.153649588,-0.194248789,0.231168831,0.1591133,0.092375367,0.360688565,0.204270468,-0.293071745,0.013475117,-0.065586,0.082656578,-0.408013276,0.151252029,-0.035935552,0.059167196,-0.067616826,0.079064855,-0.12920352,0.343828138,0.214054464,-0.044428513,0.031307105,0.215193502,-0.084899688,0.173823092,0.015220131,0.227298102,0.367880999,0.021157148,-0.164159714,0.119396103,0.125452878,-0.244629178,0.121344689,-0.239674508,0.113074437,0.029936632,0.426410104,-0.397154437,0.041475849,-0.123198158,0.163987771,0.007881907,0.16759216,0.093492174,0.183317037,0.141399005,0.39592198,0.58140681,-0.041519093,-0.591410732,0.416473965,0.567218954,-0.111672153,0.04785055,-0.242163229
# Asian,0.002306785,-0.325119033,-0.474414135,-0.47673479,-0.430769799,-0.075105632,-0.065421527,-0.050719982,0.061709482,-0.239719241,-0.168058605,-0.038239149,0.092260058,0.335447307,0.038288358,0.034069403,0.317674921,0.302011279,0.834821038,0.862920407,0.194385458,0.911034907,0.311982682,-0.177383719,-0.496889608,-0.26913807,-0.339820776,0.955005764,-0.329924845,0.918773386,0.416424365,0.928252901,0.642021948,0.903166314,0.56391821,0.062372811,0.060611115,-0.008950268,-0.044514588,0.415742882,0.379696398,0.343180491,0.437186009,0.557366256,0.299801534,0.520555161,0.562766662,0.917273742,-0.407563191,0.962119433,0.960487487,0.272470148,0.950221919,0.958941603,0.1278208,-0.258642019,-0.395442443,-0.101492063,-0.164936453,0.301159599,0.205689415,0.022677163,0.94649056,0.956268287,0.117690351,0.92037502,-0.545465164,0.929145919,0.456557132,0.933622359,-0.500999353,0.694140114,0.474827293,0.572430323,0.16759216,-0.037678441,0.135266224,-0.128645101,0.174618785,0.014943677,0.957943079,0.182000547,0.17754652,0.394079104,0.222539492,0.330613209,0.933951145,-0.232900757,-0.500465397,-0.508902855,-0.370103247,0.887835908,-0.399585206,-0.740469208,-0.527040816,-0.492188167,0.885588405,-0.288205465,-0.632467532,-0.414285714,-0.5,-0.067713666,-0.067500197,-0.222251451,0.87471146,0.319322534,0.941249746,0.196945984,0.853352961,-0.081893912,0.895351415,-0.371201662,0.893674739,-0.69534397,0.342761189,0.943811063,-0.585028561,0.258231073,-0.712884217,0.333302637,0.487789295,0.233335605,0.345224052,-0.070029069,0.295600852,0.345930855,-0.395524675,0.859653784,-0.565171265,0.946688546,-0.356539288,0.942849865,0.507392521,0.205700799,-0.517144632,0.859140247,0.438584212,0.945616229,-0.256689038,1,0.736812639,0.902210506,0.50845821,0.879316137,-0.033004604,0.89164206,-0.157351679,0.836461111,0.054841479,0.216094004,0.82250328,-0.655246499
# Native Hawaiian/Other Pacific Islander,-0.017658218,-0.319878692,-0.446505755,-0.469619915,-0.446783144,-0.085635796,-0.076661166,-0.049609718,0.054482944,-0.254163731,-0.165723353,-0.050806308,0.059013945,0.303982633,0.063981916,0.022866749,0.309184645,0.29226891,0.786160888,0.827889924,0.148391703,0.875566813,0.293430796,-0.199907288,-0.476946737,-0.285778758,-0.357294474,0.923220083,-0.279006736,0.886479331,0.374915157,0.900732792,0.617071127,0.88704637,0.565250881,0.012669245,0.062344097,-0.042517987,-0.084781116,0.443926089,0.338862902,0.387628666,0.46600368,0.527663602,0.284900505,0.491879413,0.536540951,0.910964723,-0.380589498,0.919082227,0.919195704,0.278293795,0.902345723,0.920122038,0.057856011,-0.282330627,-0.404760572,-0.118170278,-0.185622016,0.301379897,0.253410313,-0.060093437,0.912425624,0.921728066,0.091857263,0.894439494,-0.508072053,0.887673757,0.430333124,0.896368976,-0.478058987,0.674296524,0.462509846,0.536677381,0.183317037,-0.027984274,0.077787577,-0.182321122,0.14126369,-0.055155148,0.925442128,0.182281082,0.179284507,0.363481747,0.24229302,0.335714053,0.897585096,-0.237302937,-0.474635475,-0.512389254,-0.396839356,0.856981498,-0.408386276,-0.556085044,-0.45628715,-0.358925103,0.851537945,-0.247747321,-0.385714286,-0.123152709,-0.304618768,-0.079720399,-0.072993459,-0.211352449,0.830664346,0.275856272,0.899590729,0.165744868,0.806836376,-0.104188828,0.856486391,-0.39055665,0.863227595,-0.657196588,0.2985219,0.91719186,-0.531411781,0.245166947,-0.652729998,0.356421531,0.515974187,0.228043446,0.330751598,-0.076293142,0.221600458,0.339071867,-0.372938854,0.893482358,-0.492320086,0.911861816,-0.324517316,0.904785786,0.48394977,0.221143394,-0.512386695,0.805601176,0.384519919,0.916951396,-0.234466459,0.902210506,0.561603515,1,0.761093409,0.854149859,-0.017554118,0.86360687,-0.148149202,0.810030364,0.062140669,0.251692883,0.809119059,-0.597596194
# Uninsured.1,0.023738578,-0.347506986,-0.453577224,-0.494558251,-0.460558835,-0.088833755,-0.073348555,-0.037479441,0.002357912,-0.202574637,-0.238754938,-0.07164951,0.078855812,0.350998764,0.0739406,0.065463942,0.322347188,0.305096729,0.846941617,0.868487307,0.20667105,0.918032263,0.255806668,-0.1809802,-0.48551373,-0.273201789,-0.362513024,0.99408247,-0.231114003,0.921869926,0.372613285,0.93794377,0.619349316,0.898057685,0.514086171,0.052307309,0.030602723,-0.02513974,-0.065756979,0.428947304,0.388579725,0.337843635,0.430267299,0.557223315,0.325895664,0.512926035,0.562134162,0.972939959,-0.379518583,0.977548962,0.978106617,0.253027325,0.96505764,0.983469443,0.085866112,-0.303154315,-0.415162056,-0.091507042,-0.209187451,0.333992159,0.257793866,-0.029671666,0.969882685,0.990433058,0.08041744,0.950043507,-0.514178097,0.937101578,0.436772206,0.959415554,-0.501741302,0.704775835,0.478147546,0.558712925,0.214054464,-0.006345903,0.140044538,-0.107935466,0.182659914,0.024286345,0.984266362,0.195192467,0.167693353,0.3666678,0.295677231,0.33892786,0.955655581,-0.238755521,-0.47473003,-0.543967026,-0.4164219,0.935319087,-0.415906261,-0.636363636,-0.489591837,-0.438155002,0.934706517,-0.357796367,-0.42987013,-0.276847291,-0.339809384,-0.079763863,-0.066831458,-0.23260386,0.855815397,0.228778023,0.956837028,0.170789738,0.848783602,-0.121222248,0.918641707,-0.380578755,0.946701778,-0.654960081,0.321086117,1,-0.490814771,0.21683757,-0.657376403,0.380194748,0.525876068,0.239523214,0.378647029,-0.074311803,0.313263902,0.358997533,-0.42316708,0.926906326,-0.550957611,0.974910696,-0.298679225,0.958436953,0.477004572,0.301550937,-0.552694056,0.842854263,0.393692193,0.971164496,-0.244263945,0.943811063,0.5413299,0.91719186,0.508553414,0.896583238,-0.027586078,0.908816663,-0.146787184,0.871990997,0.104434734,0.263539346,0.861667735,-0.625710888
MHP Rate,-0.035826348,-0.244303231,-0.297460687,-0.289211867,-0.327843915,-0.040243106,-0.038726817,0.008228841,0.032393161,-0.060639649,0.007961062,-0.013435433,-0.073533761,-0.01009763,0.006408271,-0.063169264,0.351855576,0.119866998,0.418196743,0.425181601,0.160684196,0.53368003,0.279206929,-0.27519688,-0.14953271,-0.164215457,-0.335884451,0.529037902,-0.155138622,0.614445238,0.573919005,0.615901139,0.610230035,0.792506913,1,-0.195984435,0.010806306,-0.191697541,-0.279303464,0.390326271,0.353108043,0.269840367,0.420447356,0.412703479,0.256662235,0.359109455,0.464664626,0.619315448,-0.206879266,0.538992526,0.520821058,0.429998331,0.501377119,0.531320861,-0.188686922,-0.187048965,-0.159776987,-0.078845986,-0.312643464,0.132860285,0.106973097,-0.032972544,0.5157063,0.519178233,0.069166955,0.565765622,-0.103259484,0.49519938,0.086448985,0.547404709,-0.312910065,0.295394849,0.288548138,0.443747462,-0.043828507,-0.117901845,-0.125646247,-0.217332035,0.105039651,-0.105726335,0.539429601,-0.071474885,0.227557484,0.184655305,0.125493832,0.244635834,0.483079201,-0.238965654,-0.32406523,-0.303557515,-0.319634231,0.589803286,-0.183637481,-0.255131965,0.021938776,-0.183385981,0.453927314,-0.025404975,0.020779221,0.378325123,0.066348974,-0.036528954,-0.018398557,-0.127887522,0.577068411,0.22427968,0.531237553,0.059221459,0.556292349,0.038600639,0.490448349,-0.185117008,0.533161132,-0.535093559,0.098970869,0.514086171,-0.296796273,0.460834738,-0.552010536,0.171179603,0.136637064,0.114913509,0.167227299,-0.087088833,0.169303797,0.272563587,-0.184867189,0.599235224,-0.284207669,0.530467085,-0.36739013,0.558542826,0.407260915,0.050074336,-0.219680469,0.425818039,0.130154406,0.556953843,-0.022831097,0.56391821,0.553336366,0.565250881,0.404639509,0.496682174,0.030030668,0.544330579,-0.07792883,0.489320393,0.078515759,0.268517849,0.412476553,-0.439981618
# Mental Health Providers,-0.048834488,-0.336654129,-0.431913399,-0.418629219,-0.464478286,-0.063987883,-0.073327852,-0.035388676,0.114180942,-0.183565169,-0.032050485,-0.044215267,-0.011295352,0.183514809,0.041801353,-0.033792656,0.358897852,0.243271528,0.773925885,0.795225225,0.250135486,0.861357966,0.329610441,-0.233055021,-0.368631414,-0.263953293,-0.407717474,0.913258712,-0.266915384,0.904943792,0.454199927,0.929592446,0.63923964,1,0.792506913,-0.062349978,0.002279583,-0.055728521,-0.208389352,0.48354521,0.403583411,0.34177115,0.470985978,0.56778856,0.295160224,0.5174089,0.609458566,0.898380728,-0.338836968,0.917239697,0.90847369,0.423113382,0.897560366,0.916036641,-0.009572611,-0.282889881,-0.341147069,-0.112550847,-0.37933181,0.276314008,0.232731087,-0.049405879,0.899700752,0.909248788,0.12243123,0.903525376,-0.437427394,0.864991716,0.279134085,0.897984736,-0.521786765,0.611270257,0.418862687,0.569003936,0.080923794,-0.162825898,0.038333284,-0.170364286,0.1194227,-0.077717997,0.921164304,0.124288772,0.207594386,0.350068582,0.183668145,0.353253186,0.900714252,-0.245706903,-0.464930416,-0.447904679,-0.437351293,0.872883258,-0.336858398,-0.6293309,-0.426625168,-0.478568991,0.863594962,-0.256775142,-0.393634318,-0.166297123,-0.309990839,-0.075115179,-0.067254104,-0.215036244,0.830193379,0.299472254,0.904500551,0.102081844,0.85702112,-0.008702008,0.85696784,-0.361510351,0.858813159,-0.713814786,0.267144731,0.898057685,-0.520394182,0.36092054,-0.673812469,0.32364983,0.383192355,0.225861876,0.345176229,-0.096681143,0.254669756,0.379984547,-0.355486938,0.876930327,-0.492794761,0.914081258,-0.375696498,0.921124406,0.518992781,0.234166837,-0.477684847,0.761382306,0.314701436,0.911908243,-0.208686294,0.903166314,0.599678601,0.88704637,0.53708088,0.82504246,0.037707192,0.866832429,-0.190357558,0.796832275,0.129978599,0.303994507,0.767998263,-0.634239448
